"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
0-4 years,Females,Illawarra Shoalhaven LHD,Dec-13,304.4,212,423.4
0-4 years,Females,Illawarra Shoalhaven LHD,13/14,422.8,312.8,558.9
0-4 years,Females,Illawarra Shoalhaven LHD,14/15,411.5,303.4,545.6
0-4 years,Females,Illawarra Shoalhaven LHD,15/16,490.3,372.3,633.8
0-4 years,Females,Illawarra Shoalhaven LHD,16/17,403.7,297.7,535.2
0-4 years,Females,Illawarra Shoalhaven LHD,17/18,476.3,359.8,618.6
0-4 years,Females,Illawarra Shoalhaven LHD,18/19,530.1,406.4,679.6
0-4 years,Females,Illawarra Shoalhaven LHD,19/20,421,311.4,556.6
0-4 years,Females,Illawarra Shoalhaven LHD,20/21,243.4,161.8,351.8
0-4 years,Females,Western Sydney LHD,1-Feb,681,583.6,790.1
0-4 years,Females,Western Sydney LHD,2-Mar,629.3,535.8,734.3
0-4 years,Females,Western Sydney LHD,3-Apr,895.3,783.6,"1,018.50"
0-4 years,Females,Western Sydney LHD,4-May,541.3,455.9,638
0-4 years,Females,Western Sydney LHD,5-Jun,515.9,433.7,609.2
0-4 years,Females,Western Sydney LHD,6-Jul,461.1,384.7,548.3
0-4 years,Females,Western Sydney LHD,7-Aug,550.3,467.6,643.4
0-4 years,Females,Western Sydney LHD,8-Sep,512.8,434.3,601.5
0-4 years,Females,Western Sydney LHD,9-Oct,584.5,501.8,677
0-4 years,Females,Western Sydney LHD,10-Nov,523.7,446.4,610.5
0-4 years,Females,Western Sydney LHD,11-Dec,526,449.2,612.1
0-4 years,Females,Western Sydney LHD,Dec-13,499,425.3,581.7
0-4 years,Females,Western Sydney LHD,13/14,571.3,493.4,658.1
0-4 years,Females,Western Sydney LHD,14/15,516.2,443.1,597.8
0-4 years,Females,Western Sydney LHD,15/16,600.7,522.7,687
0-4 years,Females,Western Sydney LHD,16/17,509.8,439.2,588.6
0-4 years,Females,Western Sydney LHD,17/18,596.1,519.9,680.2
0-4 years,Females,Western Sydney LHD,18/19,724,639.8,816.3
0-4 years,Females,Western Sydney LHD,19/20,540,467.6,620.5
0-4 years,Females,Western Sydney LHD,20/21,404.3,341.6,475.2
0-4 years,Females,Nepean Blue Mountains LHD,1-Feb,509.6,391.6,652
0-4 years,Females,Nepean Blue Mountains LHD,2-Mar,684.2,544.9,848.1
0-4 years,Females,Nepean Blue Mountains LHD,3-Apr,772.3,622.6,947.1
0-4 years,Females,Nepean Blue Mountains LHD,4-May,591.7,460.4,748.8
0-4 years,Females,Nepean Blue Mountains LHD,5-Jun,506,384.3,654.2
0-4 years,Females,Nepean Blue Mountains LHD,6-Jul,533.3,407.9,685
0-4 years,Females,Nepean Blue Mountains LHD,7-Aug,758.7,608.5,934.8
0-4 years,Females,Nepean Blue Mountains LHD,8-Sep,481.7,364.9,624.1
0-4 years,Females,Nepean Blue Mountains LHD,9-Oct,639.5,504.7,799.3
0-4 years,Females,Nepean Blue Mountains LHD,10-Nov,690.2,549.7,855.6
0-4 years,Females,Nepean Blue Mountains LHD,11-Dec,581.5,453.3,734.7
0-4 years,Females,Nepean Blue Mountains LHD,Dec-13,580,453,731.6
0-4 years,Females,Nepean Blue Mountains LHD,13/14,607.5,477.8,761.5
0-4 years,Females,Nepean Blue Mountains LHD,14/15,636.9,504.3,793.8
0-4 years,Females,Nepean Blue Mountains LHD,15/16,603.3,474.6,756.3
0-4 years,Females,Nepean Blue Mountains LHD,16/17,548,425.5,694.7
0-4 years,Females,Nepean Blue Mountains LHD,17/18,791.6,642.7,964.7
0-4 years,Females,Nepean Blue Mountains LHD,18/19,759.2,613.5,929.1
0-4 years,Females,Nepean Blue Mountains LHD,19/20,728.3,585.6,895.2
0-4 years,Females,Nepean Blue Mountains LHD,20/21,471.7,357.3,611.1
0-4 years,Females,Northern Sydney LHD,1-Feb,578.7,483.2,687.6
0-4 years,Females,Northern Sydney LHD,2-Mar,529.8,438.9,634
0-4 years,Females,Northern Sydney LHD,3-Apr,671.7,569.1,787.3
0-4 years,Females,Northern Sydney LHD,4-May,631.9,532.9,744
0-4 years,Females,Northern Sydney LHD,5-Jun,424.2,344.4,517
0-4 years,Females,Northern Sydney LHD,6-Jul,451.5,370,545.6
0-4 years,Females,Northern Sydney LHD,7-Aug,547.5,458.7,648.4
0-4 years,Females,Northern Sydney LHD,8-Sep,546.7,459.3,645.9
0-4 years,Females,Northern Sydney LHD,9-Oct,618.9,526.7,722.5
0-4 years,Females,Northern Sydney LHD,10-Nov,504.9,422.4,598.7
0-4 years,Females,Northern Sydney LHD,11-Dec,510.4,428,604.1
0-4 years,Females,Northern Sydney LHD,Dec-13,428.1,353.4,513.8
0-4 years,Females,Northern Sydney LHD,13/14,483.4,404.2,573.6
0-4 years,Females,Northern Sydney LHD,14/15,666.3,572.7,770.7
0-4 years,Females,Northern Sydney LHD,15/16,586.1,498.5,684.6
0-4 years,Females,Northern Sydney LHD,16/17,634.3,543,736.5
0-4 years,Females,Northern Sydney LHD,17/18,684.8,589.1,791.5
0-4 years,Females,Northern Sydney LHD,18/19,745.7,644.4,858.3
0-4 years,Females,Northern Sydney LHD,19/20,605.1,513.1,709
0-4 years,Females,Northern Sydney LHD,20/21,454.2,374,546.5
0-4 years,Females,Central Coast LHD,1-Feb,430.8,311.8,580.3
0-4 years,Females,Central Coast LHD,2-Mar,506.4,375.8,667.6
0-4 years,Females,Central Coast LHD,3-Apr,628.5,480.8,807.3
0-4 years,Females,Central Coast LHD,4-May,379.3,265.6,525.1
0-4 years,Females,Central Coast LHD,5-Jun,334.2,227.1,474.4
0-4 years,Females,Central Coast LHD,6-Jul,334.1,227,474.3
0-4 years,Females,Central Coast LHD,7-Aug,347.1,238.9,487.4
0-4 years,Females,Central Coast LHD,8-Sep,431.4,310.9,583.1
0-4 years,Females,Central Coast LHD,9-Oct,323.3,221.1,456.4
0-4 years,Females,Central Coast LHD,10-Nov,353.1,246,491.1
0-4 years,Females,Central Coast LHD,11-Dec,414.7,297.6,562.6
0-4 years,Females,Central Coast LHD,Dec-13,281.3,186.9,406.6
0-4 years,Females,Central Coast LHD,13/14,229.9,145.8,345
0-4 years,Females,Central Coast LHD,14/15,380.4,269.2,522.1
0-4 years,Females,Central Coast LHD,15/16,410,294.2,556.2
0-4 years,Females,Central Coast LHD,16/17,289.8,194.1,416.2
0-4 years,Females,Central Coast LHD,17/18,472.3,347,628.1
0-4 years,Females,Central Coast LHD,18/19,752.7,591,945
0-4 years,Females,Central Coast LHD,19/20,719.3,560.7,908.8
0-4 years,Females,Central Coast LHD,20/21,479.4,351,639.5
0-4 years,Females,Hunter New England LHD,1-Feb,582.2,492.8,683.2
0-4 years,Females,Hunter New England LHD,2-Mar,656.9,561.3,764
0-4 years,Females,Hunter New England LHD,3-Apr,579.6,489.7,681.3
0-4 years,Females,Hunter New England LHD,4-May,532.5,446.1,630.6
0-4 years,Females,Hunter New England LHD,5-Jun,314.6,249.1,392.1
0-4 years,Females,Hunter New England LHD,6-Jul,425.4,349,513.6
0-4 years,Females,Hunter New England LHD,7-Aug,443.7,366.3,532.6
0-4 years,Females,Hunter New England LHD,8-Sep,271.4,212.4,341.8
0-4 years,Females,Hunter New England LHD,9-Oct,398.3,326.7,480.9
0-4 years,Females,Hunter New England LHD,10-Nov,370.1,301.5,449.7
0-4 years,Females,Hunter New England LHD,11-Dec,423.6,350,508
0-4 years,Females,Hunter New England LHD,Dec-13,321.1,257.9,395.2
0-4 years,Females,Hunter New England LHD,13/14,290.5,230.7,361
0-4 years,Females,Hunter New England LHD,14/15,489.3,410.8,578.4
0-4 years,Females,Hunter New England LHD,15/16,491.7,413.4,580.6
0-4 years,Females,Hunter New England LHD,16/17,524.6,443.4,616.2
0-4 years,Females,Hunter New England LHD,17/18,574.1,488.6,670.3
0-4 years,Females,Hunter New England LHD,18/19,601.8,513.8,700.7
0-4 years,Females,Hunter New England LHD,19/20,388.5,318,469.8
0-4 years,Females,Hunter New England LHD,20/21,286.1,225.8,357.5
0-4 years,Females,Northern NSW LHD,1-Feb,976.1,770.3,"1,220.00"
0-4 years,Females,Northern NSW LHD,2-Mar,745.7,567.7,961.9
0-4 years,Females,Northern NSW LHD,3-Apr,598.7,439.9,796.2
0-4 years,Females,Northern NSW LHD,4-May,686.3,514.1,897.6
0-4 years,Females,Northern NSW LHD,5-Jun,487.5,343.2,671.9
0-4 years,Females,Northern NSW LHD,6-Jul,342.5,223.7,501.8
0-4 years,Females,Northern NSW LHD,7-Aug,735.4,557,952.8
0-4 years,Females,Northern NSW LHD,8-Sep,767.6,587.1,986
0-4 years,Females,Northern NSW LHD,9-Oct,589.5,434.7,781.6
0-4 years,Females,Northern NSW LHD,10-Nov,431.8,300.7,600.5
0-4 years,Females,Northern NSW LHD,11-Dec,387,263,549.4
0-4 years,Females,Northern NSW LHD,Dec-13,312.9,202.5,462
0-4 years,Females,Northern NSW LHD,13/14,453.7,317.8,628.2
0-4 years,Females,Northern NSW LHD,14/15,493.1,350.7,674.1
0-4 years,Females,Northern NSW LHD,15/16,849.3,658.2,"1,078.60"
0-4 years,Females,Northern NSW LHD,16/17,383.8,258.9,547.8
0-4 years,Females,Northern NSW LHD,17/18,502.7,357.5,687.2
0-4 years,Females,Northern NSW LHD,18/19,852.6,659.4,"1,084.70"
0-4 years,Females,Northern NSW LHD,19/20,738.7,559.5,957
0-4 years,Females,Northern NSW LHD,20/21,367,243.9,530.4
0-4 years,Females,Mid North Coast LHD,1-Feb,761.4,546.4,"1,032.90"
0-4 years,Females,Mid North Coast LHD,2-Mar,804.4,582.2,"1,083.50"
0-4 years,Females,Mid North Coast LHD,3-Apr,"1,210.50",932.2,"1,545.80"
0-4 years,Females,Mid North Coast LHD,4-May,848.4,616.4,"1,138.90"
0-4 years,Females,Mid North Coast LHD,5-Jun,562.9,377,808.5
0-4 years,Females,Mid North Coast LHD,6-Jul,534.5,355.2,772.5
0-4 years,Females,Mid North Coast LHD,7-Aug,758.4,544.3,"1,028.90"
0-4 years,Females,Mid North Coast LHD,8-Sep,859.5,633.7,"1,139.60"
0-4 years,Females,Mid North Coast LHD,9-Oct,642.2,452.2,885.2
0-4 years,Females,Mid North Coast LHD,10-Nov,474.7,315.5,686.1
0-4 years,Females,Mid North Coast LHD,11-Dec,488.4,327.1,701.4
0-4 years,Females,Mid North Coast LHD,Dec-13,386.9,245.3,580.6
0-4 years,Females,Mid North Coast LHD,13/14,371.4,232.7,562.3
0-4 years,Females,Mid North Coast LHD,14/15,475.9,316.2,687.8
0-4 years,Females,Mid North Coast LHD,15/16,476.4,316.6,688.6
0-4 years,Females,Mid North Coast LHD,16/17,532.6,361.9,756
0-4 years,Females,Mid North Coast LHD,17/18,489.2,325.1,707
0-4 years,Females,Mid North Coast LHD,18/19,576.8,397.1,810.1
0-4 years,Females,Mid North Coast LHD,19/20,505,338.2,725.3
0-4 years,Females,Mid North Coast LHD,20/21,456,297.9,668.1
0-4 years,Females,Southern NSW LHD,1-Feb,686.7,483.5,946.5
0-4 years,Females,Southern NSW LHD,2-Mar,614.1,422.7,862.5
0-4 years,Females,Southern NSW LHD,3-Apr,466.8,302.1,689.1
0-4 years,Females,Southern NSW LHD,4-May,375.1,229.1,579.3
0-4 years,Females,Southern NSW LHD,5-Jun,339.4,201.1,536.3
0-4 years,Females,Southern NSW LHD,6-Jul,356.5,214.6,556.7
0-4 years,Females,Southern NSW LHD,7-Aug,535.6,358.7,769.3
0-4 years,Females,Southern NSW LHD,8-Sep,435.5,279,648
0-4 years,Females,Southern NSW LHD,9-Oct,462.3,302,677.4
0-4 years,Females,Southern NSW LHD,10-Nov,629.5,440.9,871.5
0-4 years,Females,Southern NSW LHD,11-Dec,485,322.3,700.9
0-4 years,Females,Southern NSW LHD,Dec-13,362.6,224.4,554.2
0-4 years,Females,Southern NSW LHD,13/14,452.4,295.6,662.9
0-4 years,Females,Southern NSW LHD,14/15,194.3,97,347.7
0-4 years,Females,Southern NSW LHD,15/16,534.8,360.8,763.5
0-4 years,Females,Southern NSW LHD,16/17,374.7,231.9,572.7
0-4 years,Females,Southern NSW LHD,17/18,761.7,551.2,"1,026.00"
0-4 years,Females,Southern NSW LHD,18/19,797.7,581.9,"1,067.40"
0-4 years,Females,Southern NSW LHD,19/20,388.6,243.5,588.3
0-4 years,Females,Southern NSW LHD,20/21,299.9,174.7,480.1
0-4 years,Females,Murrumbidgee LHD,1-Feb,576.2,424.8,763.9
0-4 years,Females,Murrumbidgee LHD,2-Mar,464.5,328.7,637.5
0-4 years,Females,Murrumbidgee LHD,3-Apr,540.5,391.2,728.1
0-4 years,Females,Murrumbidgee LHD,4-May,372.7,249.6,535.3
0-4 years,Females,Murrumbidgee LHD,5-Jun,413.9,283.1,584.3
0-4 years,Females,Murrumbidgee LHD,6-Jul,387.2,261.3,552.8
0-4 years,Females,Murrumbidgee LHD,7-Aug,551.9,399.4,743.4
0-4 years,Females,Murrumbidgee LHD,8-Sep,546.6,395.6,736.2
0-4 years,Females,Murrumbidgee LHD,9-Oct,352.7,234.3,509.7
0-4 years,Females,Murrumbidgee LHD,10-Nov,515.4,369.9,699.2
0-4 years,Females,Murrumbidgee LHD,11-Dec,464.3,326.9,639.9
0-4 years,Females,Murrumbidgee LHD,Dec-13,363.3,243.3,521.7
0-4 years,Females,Murrumbidgee LHD,13/14,303.5,194.5,451.6
0-4 years,Females,Murrumbidgee LHD,14/15,424.1,291.9,595.6
0-4 years,Females,Murrumbidgee LHD,15/16,688.8,516,901
0-4 years,Females,Murrumbidgee LHD,16/17,512.2,364.3,700.3
0-4 years,Females,Murrumbidgee LHD,17/18,567.5,410.7,764.4
0-4 years,Females,Murrumbidgee LHD,18/19,595.2,434.1,796.4
0-4 years,Females,Murrumbidgee LHD,19/20,463.7,323,644.9
0-4 years,Females,Murrumbidgee LHD,20/21,335,216.8,494.5
0-4 years,Females,Western NSW LHD,1-Feb,"1,052.20",857,"1,278.50"
0-4 years,Females,Western NSW LHD,2-Mar,"1,102.70",901,"1,336.20"
0-4 years,Females,Western NSW LHD,3-Apr,"1,077.90",877.1,"1,311.10"
0-4 years,Females,Western NSW LHD,4-May,729.8,564.4,928.5
0-4 years,Females,Western NSW LHD,5-Jun,648.1,490.8,839.6
0-4 years,Females,Western NSW LHD,6-Jul,468.1,335.9,635.1
0-4 years,Females,Western NSW LHD,7-Aug,693.5,531.7,889.1
0-4 years,Females,Western NSW LHD,8-Sep,598.7,451,779.3
0-4 years,Females,Western NSW LHD,9-Oct,467.1,339.4,627
0-4 years,Females,Western NSW LHD,10-Nov,896.2,715.9,"1,108.20"
0-4 years,Females,Western NSW LHD,11-Dec,581.7,438.2,757.2
0-4 years,Females,Western NSW LHD,Dec-13,442.5,318.9,598.2
0-4 years,Females,Western NSW LHD,13/14,390.5,274.9,538.2
0-4 years,Females,Western NSW LHD,14/15,519.3,384.2,686.6
0-4 years,Females,Western NSW LHD,15/16,495.4,364,658.7
0-4 years,Females,Western NSW LHD,16/17,633.8,483.7,815.8
0-4 years,Females,Western NSW LHD,17/18,580.9,436.4,757.9
0-4 years,Females,Western NSW LHD,18/19,873.7,692.8,"1,087.40"
0-4 years,Females,Western NSW LHD,19/20,669.7,512.2,860.2
0-4 years,Females,Western NSW LHD,20/21,288.2,188.2,422.2
0-4 years,Females,All LHDs,1-Feb,633.4,599.9,668.2
0-4 years,Females,All LHDs,2-Mar,630.5,597,665.4
0-4 years,Females,All LHDs,3-Apr,675.8,641,712
0-4 years,Females,All LHDs,4-May,546.1,514.8,578.8
0-4 years,Females,All LHDs,5-Jun,422.8,395.4,451.5
0-4 years,Females,All LHDs,6-Jul,430.9,403.4,459.7
0-4 years,Females,All LHDs,7-Aug,543.6,513.1,575.5
0-4 years,Females,All LHDs,8-Sep,473.2,445.1,502.5
0-4 years,Females,All LHDs,9-Oct,539.7,510,570.7
0-4 years,Females,All LHDs,10-Nov,511.2,482.5,541.3
0-4 years,Females,All LHDs,11-Dec,490,461.9,519.3
0-4 years,Females,All LHDs,Dec-13,423.2,397.4,450.3
0-4 years,Females,All LHDs,13/14,431.3,405.4,458.5
0-4 years,Females,All LHDs,14/15,519.7,491.3,549.4
0-4 years,Females,All LHDs,15/16,545.2,516.2,575.5
0-4 years,Females,All LHDs,16/17,520.5,492.3,549.9
0-4 years,Females,All LHDs,17/18,614.8,584,646.7
0-4 years,Females,All LHDs,18/19,683.7,651.2,717.4
0-4 years,Females,All LHDs,19/20,563.6,534.1,594.4
0-4 years,Females,All LHDs,20/21,380.8,356.4,406.4
0-4 years,Persons,Sydney LHD,1-Feb,757.9,660.6,865.4
0-4 years,Persons,Sydney LHD,2-Mar,643.7,554.7,742.8
0-4 years,Persons,Sydney LHD,3-Apr,677.1,586.5,777.7
0-4 years,Persons,Sydney LHD,4-May,550.5,469.7,641.2
0-4 years,Persons,Sydney LHD,5-Jun,432.6,361.9,513
0-4 years,Persons,Sydney LHD,6-Jul,400.1,333.6,476.1
0-4 years,Persons,Sydney LHD,7-Aug,469.8,399.2,549.3
0-4 years,Persons,Sydney LHD,8-Sep,430.7,364.5,505.4
0-4 years,Persons,Sydney LHD,9-Oct,556.9,482.4,639.7
0-4 years,Persons,Sydney LHD,10-Nov,488,418.9,565.2
0-4 years,Persons,Sydney LHD,11-Dec,441.6,376.6,514.6
0-4 years,Persons,Sydney LHD,Dec-13,410.1,348.3,479.8
0-4 years,Persons,Sydney LHD,13/14,400.1,339.4,468.5
0-4 years,Persons,Sydney LHD,14/15,493.6,425.9,569
0-4 years,Persons,Sydney LHD,15/16,504.4,435.9,580.5
0-4 years,Persons,Sydney LHD,16/17,479.6,413.2,553.7
0-4 years,Persons,Sydney LHD,17/18,579.7,506.6,660.4
0-4 years,Persons,Sydney LHD,18/19,602.6,528,684.8
0-4 years,Persons,Sydney LHD,19/20,560.1,488,639.7
0-4 years,Persons,Sydney LHD,20/21,478.6,411.4,553.7
0-4 years,Persons,South Western Sydney LHD,1-Feb,823.6,752.9,899.1
0-4 years,Persons,South Western Sydney LHD,2-Mar,778.1,709,852.2
0-4 years,Persons,South Western Sydney LHD,3-Apr,756.2,687.8,829.6
0-4 years,Persons,South Western Sydney LHD,4-May,628.6,566.3,695.8
0-4 years,Persons,South Western Sydney LHD,5-Jun,462.7,409.8,520.5
0-4 years,Persons,South Western Sydney LHD,6-Jul,512.7,457.4,572.9
0-4 years,Persons,South Western Sydney LHD,7-Aug,655.9,593.5,723.1
0-4 years,Persons,South Western Sydney LHD,8-Sep,525.7,470.3,585.8
0-4 years,Persons,South Western Sydney LHD,9-Oct,756.6,690.3,827.5
0-4 years,Persons,South Western Sydney LHD,10-Nov,644.7,583.6,710.4
0-4 years,Persons,South Western Sydney LHD,11-Dec,700.7,637.1,769
0-4 years,Persons,South Western Sydney LHD,Dec-13,637.7,577.6,702.5
0-4 years,Persons,South Western Sydney LHD,13/14,587.6,530.5,649.3
0-4 years,Persons,South Western Sydney LHD,14/15,622.8,564.6,685.3
0-4 years,Persons,South Western Sydney LHD,15/16,682.6,622.5,747
0-4 years,Persons,South Western Sydney LHD,16/17,730.7,669.2,796.4
0-4 years,Persons,South Western Sydney LHD,17/18,898.2,830.3,970.1
0-4 years,Persons,South Western Sydney LHD,18/19,807.9,744.1,875.7
0-4 years,Persons,South Western Sydney LHD,19/20,728.2,668.1,792.3
0-4 years,Persons,South Western Sydney LHD,20/21,397.2,352.9,445.5
0-4 years,Persons,South Eastern Sydney LHD,1-Feb,550.2,482.7,624.6
0-4 years,Persons,South Eastern Sydney LHD,2-Mar,643.3,570.1,723.2
0-4 years,Persons,South Eastern Sydney LHD,3-Apr,621,549.2,699.5
0-4 years,Persons,South Eastern Sydney LHD,4-May,456.7,395.6,524.6
0-4 years,Persons,South Eastern Sydney LHD,5-Jun,398.3,341.6,461.7
0-4 years,Persons,South Eastern Sydney LHD,6-Jul,402.8,346.6,465.6
0-4 years,Persons,South Eastern Sydney LHD,7-Aug,408.9,353.3,470.9
0-4 years,Persons,South Eastern Sydney LHD,8-Sep,402.2,347.8,462.6
0-4 years,Persons,South Eastern Sydney LHD,9-Oct,368.9,317.5,426.3
0-4 years,Persons,South Eastern Sydney LHD,10-Nov,419.8,365.1,480.4
0-4 years,Persons,South Eastern Sydney LHD,11-Dec,402.1,349,461.1
0-4 years,Persons,South Eastern Sydney LHD,Dec-13,303.1,257.7,354.2
0-4 years,Persons,South Eastern Sydney LHD,13/14,328.9,281.7,381.8
0-4 years,Persons,South Eastern Sydney LHD,14/15,407.6,354.8,466
0-4 years,Persons,South Eastern Sydney LHD,15/16,358.1,308.8,413.2
0-4 years,Persons,South Eastern Sydney LHD,16/17,326.5,279.6,379.2
0-4 years,Persons,South Eastern Sydney LHD,17/18,408.6,355.7,467.2
0-4 years,Persons,South Eastern Sydney LHD,18/19,531.7,470.7,598.4
0-4 years,Persons,South Eastern Sydney LHD,19/20,436.6,381.2,497.8
0-4 years,Persons,South Eastern Sydney LHD,20/21,331.1,282.7,385.5
0-4 years,Persons,Illawarra Shoalhaven LHD,1-Feb,499.7,412.9,599.3
0-4 years,Persons,Illawarra Shoalhaven LHD,2-Mar,423.7,343.6,516.8
0-4 years,Persons,Illawarra Shoalhaven LHD,3-Apr,546.2,453.9,651.7
0-4 years,Persons,Illawarra Shoalhaven LHD,4-May,529.1,437.6,634.1
0-4 years,Persons,Illawarra Shoalhaven LHD,5-Jun,437.3,354.2,534.1
0-4 years,Persons,Illawarra Shoalhaven LHD,6-Jul,402,322.9,494.7
0-4 years,Persons,Illawarra Shoalhaven LHD,7-Aug,541.3,449.5,646.3
0-4 years,Persons,Illawarra Shoalhaven LHD,8-Sep,462.1,378.4,559
0-4 years,Persons,Illawarra Shoalhaven LHD,9-Oct,523.8,434.9,625.4
0-4 years,Persons,Illawarra Shoalhaven LHD,10-Nov,401.3,324.3,491.1
0-4 years,Persons,Illawarra Shoalhaven LHD,11-Dec,375.5,301.2,462.6
0-4 years,Persons,Illawarra Shoalhaven LHD,Dec-13,355.8,283.8,440.5
0-4 years,Persons,Illawarra Shoalhaven LHD,13/14,403.5,326.8,492.7
0-4 years,Persons,Illawarra Shoalhaven LHD,14/15,563.5,472.4,666.9
0-4 years,Persons,Illawarra Shoalhaven LHD,15/16,518.8,432.1,617.7
0-4 years,Persons,Illawarra Shoalhaven LHD,16/17,406,330,494.3
0-4 years,Persons,Illawarra Shoalhaven LHD,17/18,504.3,418.8,602.1
0-4 years,Persons,Illawarra Shoalhaven LHD,18/19,492.9,408.3,589.8
0-4 years,Persons,Illawarra Shoalhaven LHD,19/20,403.1,326.9,491.7
0-4 years,Persons,Illawarra Shoalhaven LHD,20/21,352.5,281.2,436.5
0-4 years,Persons,Western Sydney LHD,1-Feb,726.8,655.9,803.2
0-4 years,Persons,Western Sydney LHD,2-Mar,676.4,608.2,750.1
0-4 years,Persons,Western Sydney LHD,3-Apr,894.6,816.3,978.4
0-4 years,Persons,Western Sydney LHD,4-May,571.8,509.9,639.1
0-4 years,Persons,Western Sydney LHD,5-Jun,538.9,479.5,603.7
0-4 years,Persons,Western Sydney LHD,6-Jul,491.2,435.2,552.3
0-4 years,Persons,Western Sydney LHD,7-Aug,598.9,537.9,664.9
0-4 years,Persons,Western Sydney LHD,8-Sep,542.3,485.3,604.2
0-4 years,Persons,Western Sydney LHD,9-Oct,636.5,575.6,702.2
0-4 years,Persons,Western Sydney LHD,10-Nov,549.3,493.4,609.8
0-4 years,Persons,Western Sydney LHD,11-Dec,553.1,497.6,613.1
0-4 years,Persons,Western Sydney LHD,Dec-13,522.4,469.3,580
0-4 years,Persons,Western Sydney LHD,13/14,603.2,546.7,663.9
0-4 years,Persons,Western Sydney LHD,14/15,518.4,466.8,574.2
0-4 years,Persons,Western Sydney LHD,15/16,608.6,553.2,668.1
0-4 years,Persons,Western Sydney LHD,16/17,513.9,463.6,568.1
0-4 years,Persons,Western Sydney LHD,17/18,674.6,617.2,735.9
0-4 years,Persons,Western Sydney LHD,18/19,722.3,663,785.5
0-4 years,Persons,Western Sydney LHD,19/20,624.1,569.1,683
0-4 years,Persons,Western Sydney LHD,20/21,413.3,368.5,462
0-4 years,Persons,Nepean Blue Mountains LHD,1-Feb,610.9,518.2,715.3
0-4 years,Persons,Nepean Blue Mountains LHD,2-Mar,698.2,597.8,810.7
0-4 years,Persons,Nepean Blue Mountains LHD,3-Apr,833.5,722.5,956.7
0-4 years,Persons,Nepean Blue Mountains LHD,4-May,603.1,508.7,710.1
0-4 years,Persons,Nepean Blue Mountains LHD,5-Jun,565,473.1,669.6
0-4 years,Persons,Nepean Blue Mountains LHD,6-Jul,693.3,590.9,808.3
0-4 years,Persons,Nepean Blue Mountains LHD,7-Aug,835.1,723.1,959.5
0-4 years,Persons,Nepean Blue Mountains LHD,8-Sep,582,489.9,686.4
0-4 years,Persons,Nepean Blue Mountains LHD,9-Oct,648.3,551.5,757.3
0-4 years,Persons,Nepean Blue Mountains LHD,10-Nov,696.6,595.8,809.5
0-4 years,Persons,Nepean Blue Mountains LHD,11-Dec,545.7,456.9,646.7
0-4 years,Persons,Nepean Blue Mountains LHD,Dec-13,622.1,527.8,728.5
0-4 years,Persons,Nepean Blue Mountains LHD,13/14,663.7,566.6,772.7
0-4 years,Persons,Nepean Blue Mountains LHD,14/15,626.6,532.7,732.3
0-4 years,Persons,Nepean Blue Mountains LHD,15/16,689.9,591.8,799.7
0-4 years,Persons,Nepean Blue Mountains LHD,16/17,624.8,531.7,729.4
0-4 years,Persons,Nepean Blue Mountains LHD,17/18,889.5,777.6,"1,013.10"
0-4 years,Persons,Nepean Blue Mountains LHD,18/19,827.1,719.3,946.6
0-4 years,Persons,Nepean Blue Mountains LHD,19/20,702.3,603.2,813.1
0-4 years,Persons,Nepean Blue Mountains LHD,20/21,444.4,365.6,535.2
0-4 years,Persons,Northern Sydney LHD,1-Feb,589.3,521.2,663.8
0-4 years,Persons,Northern Sydney LHD,2-Mar,555,489.2,627.2
0-4 years,Persons,Northern Sydney LHD,3-Apr,696.8,623.1,776.8
0-4 years,Persons,Northern Sydney LHD,4-May,665,593.2,743
0-4 years,Persons,Northern Sydney LHD,5-Jun,472.4,412.5,538.4
0-4 years,Persons,Northern Sydney LHD,6-Jul,486.4,426.3,552.5
0-4 years,Persons,Northern Sydney LHD,7-Aug,539.6,477.2,608
0-4 years,Persons,Northern Sydney LHD,8-Sep,560.2,497.4,628.6
0-4 years,Persons,Northern Sydney LHD,9-Oct,557.4,495.6,624.8
0-4 years,Persons,Northern Sydney LHD,10-Nov,506.1,447.7,570.1
0-4 years,Persons,Northern Sydney LHD,11-Dec,499.6,441.9,562.7
0-4 years,Persons,Northern Sydney LHD,Dec-13,414.3,362.3,471.5
0-4 years,Persons,Northern Sydney LHD,13/14,502.5,445.5,564.9
0-4 years,Persons,Northern Sydney LHD,14/15,625.4,561.7,694.4
0-4 years,Persons,Northern Sydney LHD,15/16,646.1,581.3,716.2
0-4 years,Persons,Northern Sydney LHD,16/17,612.7,549.5,681.1
0-4 years,Persons,Northern Sydney LHD,17/18,769.8,698.4,846.6
0-4 years,Persons,Northern Sydney LHD,18/19,716.2,646.4,791.4
0-4 years,Persons,Northern Sydney LHD,19/20,703.8,633.6,779.6
0-4 years,Persons,Northern Sydney LHD,20/21,447.9,391.5,510.1
0-4 years,Persons,Central Coast LHD,1-Feb,513.3,418.5,623.1
0-4 years,Persons,Central Coast LHD,2-Mar,546.9,448.2,660.9
0-4 years,Persons,Central Coast LHD,3-Apr,602.1,497.6,722.2
0-4 years,Persons,Central Coast LHD,4-May,463.3,371.5,570.7
